firstname;lastname;username;password;email;course1
Leerling01;Familie01;leerling01;Welkom123!;leerling01@ecois.sr;canvas.nl
Leerling02;Familie02;leerling02;Welkom123!;leerling02@ecois.sr;canvas.nl
Leerling03;Familie03;leerling03;Welkom123!;leerling03@ecois.sr;canvas.nl
Leerling04;Familie04;leerling04;Welkom123!;leerling04@ecois.sr;canvas.nl
Leerling05;Familie05;leerling05;Welkom123!;leerling05@ecois.sr;canvas.nl
Leerling06;Familie06;leerling06;Welkom123!;leerling06@ecois.sr;canvas.nl
Leerling07;Familie07;leerling07;Welkom123!;leerling07@ecois.sr;canvas.nl
Leerling08;Familie08;leerling08;Welkom123!;leerling08@ecois.sr;canvas.nl
Leerling09;Familie09;leerling09;Welkom123!;leerling09@ecois.sr;canvas.nl
Leerling10;Familie10;leerling10;Welkom123!;leerling10@ecois.sr;canvas.nl
Leerling11;Familie11;leerling11;Welkom123!;leerling11@ecois.sr;canvas.nl
Leerling12;Familie12;leerling12;Welkom123!;leerling12@ecois.sr;canvas.nl
Leerling13;Familie13;leerling13;Welkom123!;leerling13@ecois.sr;canvas.nl
Leerling14;Familie14;leerling14;Welkom123!;leerling14@ecois.sr;canvas.nl
Leerling15;Familie15;leerling15;Welkom123!;leerling15@ecois.sr;canvas.nl
Leerling16;Familie16;leerling16;Welkom123!;leerling16@ecois.sr;canvas.nl
Leerling17;Familie17;leerling17;Welkom123!;leerling17@ecois.sr;canvas.nl
Leerling18;Familie18;leerling18;Welkom123!;leerling18@ecois.sr;canvas.nl
Leerling19;Familie19;leerling19;Welkom123!;leerling19@ecois.sr;canvas.nl
Leerling20;Familie20;leerling20;Welkom123!;leerling20@ecois.sr;canvas.nl
Leerling21;Familie21;leerling21;Welkom123!;leerling21@ecois.sr;canvas.nl
Leerling22;Familie22;leerling22;Welkom123!;leerling22@ecois.sr;canvas.nl
Leerling23;Familie23;leerling23;Welkom123!;leerling23@ecois.sr;canvas.nl
Leerling24;Familie24;leerling24;Welkom123!;leerling24@ecois.sr;canvas.nl
Leerling25;Familie25;leerling25;Welkom123!;leerling25@ecois.sr;canvas.nl
Leerling26;Familie26;leerling26;Welkom123!;leerling26@ecois.sr;canvas.nl
Leerling27;Familie27;leerling27;Welkom123!;leerling27@ecois.sr;canvas.nl
Leerling28;Familie28;leerling28;Welkom123!;leerling28@ecois.sr;canvas.nl
Leerling29;Familie29;leerling29;Welkom123!;leerling29@ecois.sr;canvas.nl
Leerling30;Familie30;leerling30;Welkom123!;leerling30@ecois.sr;canvas.nl
Leerling31;Familie31;leerling31;Welkom123!;leerling31@ecois.sr;canvas.nl
Leerling32;Familie32;leerling32;Welkom123!;leerling32@ecois.sr;canvas.nl
Leerling33;Familie33;leerling33;Welkom123!;leerling33@ecois.sr;canvas.nl
Leerling34;Familie34;leerling34;Welkom123!;leerling34@ecois.sr;canvas.nl
Leerling35;Familie35;leerling35;Welkom123!;leerling35@ecois.sr;canvas.nl
Leerling36;Familie36;leerling36;Welkom123!;leerling36@ecois.sr;canvas.nl
Leerling37;Familie37;leerling37;Welkom123!;leerling37@ecois.sr;canvas.nl
Leerling38;Familie38;leerling38;Welkom123!;leerling38@ecois.sr;canvas.nl
Leerling39;Familie39;leerling39;Welkom123!;leerling39@ecois.sr;canvas.nl
Leerling40;Familie40;leerling40;Welkom123!;leerling40@ecois.sr;canvas.nl
